coco_id,dense_caption
161,"Vintage kitchen interior with retro refrigerator, stove, patterned wallpaper, wooden furniture, and household decorations arranged throughout a cozy room. The scene highlights nostalgic design elements, practical cooking appliances, and a lived-in atmosphere that reflects traditional domestic life."
162,"Narrow interior room featuring shelves, hanging mugs, a fire extinguisher, counters, and warm lighting. The compact space appears functional and organized, resembling a café, food service area, or small workspace designed for daily operations."
163,"Baseball player swings at a pitch while a catcher and umpire crouch behind home plate. Spectators and stadium structures surround the field, capturing an action-packed moment from a competitive game."
164,"Modern stainless-steel kitchen with a snack bar, pendant lights, countertops, appliances, and bar stools. Clean lines and contemporary finishes create an organized and stylish cooking and dining environment."
165,"Dog standing on a sandy beach carries a yellow frisbee in its mouth near the shoreline. Ocean waves, open sky, and coastal scenery emphasize outdoor recreation and play."
166,Dining table set with plates of food and two glasses of red wine near a large window overlooking greenery. The scene suggests a relaxed meal shared in a pleasant restaurant or home setting.
167,"Apple desktop computer, keyboard, and mouse sit neatly on a clean wooden desk. The minimalist workspace emphasizes technology, organization, and a distraction-free working environment."
168,"Competitors participate in a dog-powered racing event while huskies pull wheeled vehicles through a crowd. Spectators gather nearby, creating an energetic outdoor sporting atmosphere."
169,"Living room decorated with balloons and a large smiley-face balloon hanging from the ceiling. Furniture, wood floors, and festive decorations suggest a party or celebration taking place indoors."
170,"Woman stands near a transportation terminal while travelers with luggage move toward buses in the background. The scene highlights public transit, travel logistics, and passenger movement."
171,"Two women compete on a professional tennis court surrounded by spectators and stadium seating. The image captures athletic performance, competition, and the excitement of a live sporting event."
172,"Large herd of cattle walks along a rural road in a line. The agricultural setting emphasizes livestock management, open landscapes, and traditional farming activities."
173,"Comfortable bedroom featuring a large bed, fireplace, television, warm lighting, and built-in shelving. The room appears designed for relaxation and hospitality."
174,Young child plays indoors while raising an object overhead in a family living room. Household furnishings and natural light create a casual domestic setting.
175,"Man stands beside a flatbed truck carrying large industrial materials. The outdoor scene highlights transportation, loading operations, and heavy equipment handling."
176,"Woman bends over a stove while cooking in a traditional kitchen. Pots, utensils, and appliances indicate active meal preparation within a home environment."
177,"Family relaxes under colorful umbrellas on a beach near the shoreline. Sand, ocean views, and sunny weather create a leisurely vacation atmosphere."
178,"Laptop computer sits on a table in the foreground while a person tends plants nearby. The image combines technology, remote work, and gardening in an outdoor setting."
179,"Collection of laptops, backpacks, cables, and electronic accessories displayed on a table. The arrangement suggests a workshop, conference, or technology-focused event."
180,"Speaker presents on a large projected screen while audience members watch from their seats. The image captures a conference, lecture, or public presentation."
